Posición,Código PEGI,Juego,Plataforma
1,18 +,RESIDENT EVIL 4,PS5
2,12 +,METROID PRIME REMASTERED,SWITCH
3,16 +,HOGWARTS LEGACY,PS5
4,3 +,MARIO KART 8 DELUXE,SWITCH
5,18 +,RESIDENT EVIL 4,PS4
6,3 +,FIFA 23,SWITCH
7,3 +,FIFA 23,PS4
8,7 +,NINTENDO SWITCH SPORTS,SWITCH
9,7 +,KIRBYS RETURN TO DREAM LAND DELUXE,SWITCH
10,7 +,MINECRAFT: NINTENDO SWITCH EDITION,SWITCH
