,Posición,Código PEGI,Juego,Plataforma
0,1,16 +,HOGWARTS LEGACY,PS5
1,2,3 +,FIFA 23,PS4
2,3,3 +,FIFA 23,SWITCH
3,4,7 +,NINTENDO SWITCH SPORTS,SWITCH
4,5,16 +,HOGWARTS LEGACY,XBOX SERIES
5,6,7 +,KIRBYS RETURN TO DREAM LAND DELUXE,SWITCH
6,7,18 +,THE LAST OF US PART I,PS5
7,8,3 +,MARIO KART 8 DELUXE,SWITCH
8,9,12 +,OCTOPATH TRAVELER II,SWITCH
9,10,18 +,GOD OF WAR RAGNARÖK,PS5
