,Posición,Código PEGI,Juego,Plataforma,Mes
0,1,16 +,HOGWARTS LEGACY,PS5,Febrero
1,2,3 +,FIFA 23,PS4,Febrero
2,3,3 +,FIFA 23,SWITCH,Febrero
3,4,7 +,NINTENDO SWITCH SPORTS,SWITCH,Febrero
4,5,16 +,HOGWARTS LEGACY,XBOX SERIES,Febrero
5,6,7 +,KIRBYS RETURN TO DREAM LAND DELUXE,SWITCH,Febrero
6,7,18 +,THE LAST OF US PART I,PS5,Febrero
7,8,3 +,MARIO KART 8 DELUXE,SWITCH,Febrero
8,9,12 +,OCTOPATH TRAVELER II,SWITCH,Febrero
9,10,18 +,GOD OF WAR RAGNARÖK,PS5,Febrero
