Posición,Código PEGI,Juego,Plataforma
1,3 +,FIFA 23,PS4
2,3 +,FIFA 23,SWITCH
3,7 +,NINTENDO SWITCH SPORTS,SWITCH
4,3 +,MARIO KART 8 DELUXE,SWITCH
5,7 +,MARIO + RABBIDS SPARKS OF HOPE,SWITCH
6,3 +,JUST DANCE 2023 EDITION,SWITCH
7,12 +,FIRE EMBLEM ENGAGE,SWITCH
8,7 +,POKEMON VIOLET,SWITCH
9,7 +,POKEMON SCARLET,SWITCH
10,3 +,ANIMAL CROSSING: NEW HORIZONS,SWITCH
